0;288;0;0;44;-0,08;-0,09;14,0;0;2029;64;3;41;-1456201205;567531717;47° 34' 11" N;-122° 3' 26" W
0;300;0;0;45;0,03;-0,09;14,0;0;2078;64;3;41;-1456201371;567530321;47° 34' 11" N;-122° 3' 26" W
0;313;0;0;46;0,00;-0,09;13,5;0;2118;64;3;40;-1456201371;567529033;47° 34' 11" N;-122° 3' 26" W
0;325;0;0;47;-0,04;-0,13;13,5;0;2140;65;3;37;-1456201371;567529033;47° 34' 11" N;-122° 3' 26" W
0;337;0;0;46;-0,06;-0,19;13,5;0;2063;65;3;36;-1456201371;567527530;47° 34' 10" N;-122° 3' 26" W
0;350;0;0;45;-0,14;-0,17;13,5;-2;2051;65;3;33;-1456201371;567525919;47° 34' 10" N;-122° 3' 26" W
0;362;0;0;44;-0,21;-0,24;13,0;-3;1951;65;3;32;-1456201371;567524416;47° 34' 9" N;-122° 3' 26" W
0;374;0;0;41;-0,39;-0,13;13,0;-7;1792;65;3;30;-1456201371;567523235;47° 34' 9" N;-122° 3' 26" W
0;385;0;0;42;-0,28;-0,13;13,0;-5;1864;65;3;26;-1456202199;567522053;47° 34' 8" N;-122° 3' 26" W
0;397;0;0;41;0,12;-0,18;13,0;1;1833;65;3;26;-1456203359;567521087;47° 34' 8" N;-122° 3' 27" W
0;407;0;0;39;0,35;-0,21;12,5;6;1771;65;3;25;-1456204851;567519906;47° 34' 8" N;-122° 3' 27" W
0;417;0;0;37;0,26;-0,28;12,5;5;1674;65;3;23;-1456205513;567519047;47° 34' 8" N;-122° 3' 27" W
0;427;0;0;34;0,04;-0,36;12,5;1;1495;65;2;20;-1456205513;567519047;47° 34' 8" N;-122° 3' 27" W
0;435;0;0;28;0,00;-0,31;12,5;0;1753;65;1;18;-1456206176;567518081;47° 34' 7" N;-122° 3' 28" W
0;441;0;0;21;-0,10;-0,38;12,5;-6;1971;65;1;19;-1456206839;567517007;47° 34' 7" N;-122° 3' 28" W
0;444;0;0;12;-0,10;-0,09;12,0;-11;1076;65;1;18;-1456207170;567516470;47° 34' 7" N;-122° 3' 28" W
0;447;0;0;11;-0,19;0,02;12,0;-17;1094;65;1;18;-1456207668;567515933;47° 34' 7" N;-122° 3' 28" W
0;452;0;0;22;-0,44;0,38;12,0;-15;2608;65;1;18;-1456207833;567515718;47° 34' 7" N;-122° 3' 28" W
0;461;0;0;35;-0,28;0,40;12,0;-5;3942;65;1;17;-1456208496;567514645;47° 34' 6" N;-122° 3' 28" W
0;473;0;0;45;-0,03;0,32;12,0;-1;3065;65;2;17;-1456210982;567515182;47° 34' 6" N;-122° 3' 29" W
0;488;0;0;55;0,00;0,30;12,0;0;3714;65;2;18;-1456213798;567515504;47° 34' 6" N;-122° 3' 30" W
0;505;0;0;65;0,00;0,14;12,0;0;3061;65;3;18;-1456213798;567515504;47° 34' 6" N;-122° 3' 30" W
0;523;0;0;66;-0,01;-0,08;11,5;0;2973;66;3;19;-1456216947;567516148;47° 34' 7" N;-122° 3' 31" W
0;541;0;0;63;0,00;-0,01;11,5;0;2853;66;3;19;-1456220261;567516577;47° 34' 7" N;-122° 3' 32" W
0;558;0;0;62;0,01;0,02;11,5;0;2869;66;3;20;-1456222746;567516900;47° 34' 7" N;-122° 3' 33" W
0;575;0;0;62;-0,03;0,01;11,5;0;2883;66;3;20;-1456225563;567517436;47° 34' 7" N;-122° 3' 33" W
0;592;0;0;63;0,00;0,00;11,5;0;2867;66;3;21;-1456228380;567517866;47° 34' 7" N;-122° 3' 34" W
0;609;0;0;61;-0,01;-0,06;11,5;0;2776;66;3;21;-1456231031;567518295;47° 34' 7" N;-122° 3' 35" W
0;625;0;0;58;-0,03;-0,05;11,5;0;2652;66;3;23;-1456233517;567518618;47° 34' 7" N;-122° 3' 36" W
0;641;0;0;57;-0,01;-0,01;11,0;0;2592;67;3;21;-1456236499;567519154;47° 34' 8" N;-122° 3' 37" W
0;656;0;0;56;-0,03;0,00;11,0;0;2592;67;4;21;-1456238654;567519799;47° 34' 8" N;-122° 3' 37" W
0;672;0;0;57;-0,03;0,01;11,0;0;2073;67;4;21;-1456241470;567520550;47° 34' 8" N;-122° 3' 38" W
0;688;0;0;57;-0,06;0,02;11,0;-1;2110;67;5;21;-1456244122;567521194;47° 34' 8" N;-122° 3' 39" W
0;704;0;0;58;-0,05;-0,05;11,0;-1;2056;67;4;21;-1456246442;567521839;47° 34' 8" N;-122° 3' 40" W
0;719;0;0;57;-0,03;0,01;11,0;0;2078;68;4;20;-1456249093;567522376;47° 34' 9" N;-122° 3' 41" W
0;735;0;0;58;-0,01;0,02;11,0;0;2108;68;5;20;-1456251910;567523235;47° 34' 9" N;-122° 3' 41" W
0;751;0;0;59;-0,03;0,01;11,0;0;1809;68;5;18;-1456251910;567523235;47° 34' 9" N;-122° 3' 41" W
0;768;0;0;59;0,02;-0,02;11,0;0;1791;68;5;18;-1456254395;567523879;47° 34' 9" N;-122° 3' 42" W
0;784;0;0;59;0,00;-0,07;11,0;0;1757;68;5;18;-1456257046;567524523;47° 34' 9" N;-122° 3' 43" W
0;800;0;0;57;0,00;-0,06;10,5;0;1674;69;5;18;-1456259532;567525167;47° 34' 9" N;-122° 3' 44" W
0;815;0;0;55;0,00;-0,06;10,5;0;1628;69;5;18;-1456261686;567525812;47° 34' 10" N;-122° 3' 44" W
0;830;0;0;53;-0,01;-0,07;10,5;0;1574;69;5;18;-1456264503;567526456;47° 34' 10" N;-122° 3' 45" W
0;844;0;0;51;-0,02;-0,07;10,5;0;1509;69;5;19;-1456266823;567527100;47° 34' 10" N;-122° 3' 46" W
0;857;0;0;49;-0,01;-0,07;10,5;0;1441;69;5;19;-1456268977;567527637;47° 34' 10" N;-122° 3' 47" W
0;870;0;0;47;-0,01;-0,06;10,5;0;1390;69;5;19;-1456271297;567528281;47° 34' 10" N;-122° 3' 47" W
0;883;0;0;45;-0,05;0,00;10,5;-1;1407;69;5;19;-1456273285;567528711;47° 34' 10" N;-122° 3' 48" W
0;896;0;0;48;-0,06;0,00;10,5;-1;1458;69;4;19;-1456275439;567529462;47° 34' 11" N;-122° 3' 48" W
0;909;0;0;48;0,01;-0,02;10,5;0;2986;69;2;19;-1456277593;567530321;47° 34' 11" N;-122° 3' 49" W
0;922;0;0;47;0,03;-0,12;10,5;0;2920;69;2;18;-1456279582;567530966;47° 34' 11" N;-122° 3' 50" W
0;934;0;0;44;-0,42;-0,05;10,5;-6;2741;69;2;19;-1456281570;567531717;47° 34' 11" N;-122° 3' 50" W
0;946;0;0;45;-0,74;0,03;10,5;-9;2821;69;2;20;-1456281570;567531717;47° 34' 11" N;-122° 3' 50" W
0;960;0;0;50;-0,04;0,28;10,5;-2;3250;69;2;20;-1456282564;567533757;47° 34' 12" N;-122° 3' 51" W
0;975;0;0;56;0,02;0,28;10,5;0;3751;69;2;19;-1456282564;567535690;47° 34' 13" N;-122° 3' 51" W
0;991;0;0;61;-0,01;0,05;10,5;0;2844;69;3;19;-1456282564;567537193;47° 34' 13" N;-122° 3' 51" W
0;1008;0;0;58;-0,13;-0,03;10,5;-1;2676;70;3;19;-1456282564;567538804;47° 34' 14" N;-122° 3' 51" W
0;1024;0;0;58;-0,28;0,06;10,5;-3;2688;70;3;19;-1456282564;567540629;47° 34' 14" N;-122° 3' 51" W
0;1040;0;0;61;-0,52;0,16;10,5;-5;2856;70;3;20;-1456282564;567542562;47° 34' 15" N;-122° 3' 51" W
